Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Texas
Location name (ESRI Maps): New Caney, Texas, USA
Station Name: -
Latitude: 30.1452 Degree
Longitude: -95.1246 Degree
Elevation (USGS): 46 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.494,0.584,0.731,0.854,1.02,1.16,1.29,1.44,1.63,1.79
10-min:, 0.782,0.927,1.16,1.36,1.63,1.85,2.06,2.28,2.57,2.78
15-min:, 0.996,1.18,1.47,1.71,2.04,2.30,2.57,2.85,3.23,3.53
30-min:, 1.43,1.68,2.08,2.42,2.88,3.23,3.59,4.00,4.58,5.05
60-min:, 1.88,2.23,2.79,3.26,3.91,4.40,4.93,5.54,6.44,7.20
2-hr:, 2.28,2.80,3.59,4.30,5.32,6.14,7.06,8.14,9.78,11.2
3-hr:, 2.49,3.14,4.10,4.99,6.30,7.40,8.65,10.1,12.4,14.3
6-hr:, 2.88,3.76,5.01,6.21,8.05,9.63,11.5,13.6,17.0,19.8
12-hr:, 3.30,4.41,5.94,7.45,9.79,11.8,14.3,17.1,21.4,25.1
24-hr:, 3.75,5.10,6.94,8.78,11.7,14.2,17.3,20.7,25.9,30.3
2-day:, 4.18,5.83,8.02,10.3,13.8,17.1,20.9,24.9,30.5,35.0
3-day:, 4.53,6.32,8.73,11.2,15.1,18.7,22.8,27.0,32.7,37.2
4-day:, 4.85,6.72,9.24,11.8,15.8,19.6,23.7,28.0,33.8,38.3
7-day:, 5.66,7.62,10.3,13.0,17.2,21.0,25.2,29.5,35.4,40.1
10-day:, 6.34,8.36,11.2,14.0,18.2,22.0,26.3,30.6,36.6,41.2
20-day:, 8.44,10.6,13.7,16.7,21.0,24.7,28.7,33.0,38.9,43.7
30-day:, 10.2,12.5,15.9,18.9,23.3,26.9,30.7,34.9,40.8,45.6
45-day:, 12.9,15.3,19.2,22.5,27.1,30.6,34.2,38.2,43.9,48.4
60-day:, 15.4,18.0,22.3,25.8,30.6,34.1,37.6,41.5,46.8,51.0

Date/time (GMT):  Mon May  6 01:44:15 2024
pyRunTime:  0.007235288619995117
