Reading Date From,Reading Date To,Rain
5/5/24 23:00,5/6/24 0:00,0
5/5/24 22:00,5/5/24 23:00,0
5/5/24 21:00,5/5/24 22:00,0
5/5/24 20:00,5/5/24 21:00,0
5/5/24 19:00,5/5/24 20:00,0
5/5/24 18:00,5/5/24 19:00,0
5/5/24 17:00,5/5/24 18:00,0
5/5/24 16:00,5/5/24 17:00,0
5/5/24 15:00,5/5/24 16:00,0
5/5/24 14:00,5/5/24 15:00,0.04
5/5/24 13:00,5/5/24 14:00,0
5/5/24 12:00,5/5/24 13:00,0
5/5/24 11:00,5/5/24 12:00,0
5/5/24 10:00,5/5/24 11:00,0
5/5/24 9:00,5/5/24 10:00,0
5/5/24 8:00,5/5/24 9:00,0.04
5/5/24 7:00,5/5/24 8:00,0.12
5/5/24 6:00,5/5/24 7:00,0
5/5/24 5:00,5/5/24 6:00,0
5/5/24 4:00,5/5/24 5:00,0
5/5/24 3:00,5/5/24 4:00,0
5/5/24 2:00,5/5/24 3:00,0
5/5/24 1:00,5/5/24 2:00,0
5/5/24 0:00,5/5/24 1:00,0
5/4/24 23:00,5/5/24 0:00,0
5/4/24 22:00,5/4/24 23:00,0
5/4/24 21:00,5/4/24 22:00,0.12
5/4/24 20:00,5/4/24 21:00,0
5/4/24 19:00,5/4/24 20:00,0
5/4/24 18:00,5/4/24 19:00,0
5/4/24 17:00,5/4/24 18:00,0
5/4/24 16:00,5/4/24 17:00,0
5/4/24 15:00,5/4/24 16:00,0
5/4/24 14:00,5/4/24 15:00,0
5/4/24 13:00,5/4/24 14:00,0
5/4/24 12:00,5/4/24 13:00,0
5/4/24 11:00,5/4/24 12:00,0
5/4/24 10:00,5/4/24 11:00,0
5/4/24 9:00,5/4/24 10:00,0
5/4/24 8:00,5/4/24 9:00,0
5/4/24 7:00,5/4/24 8:00,0
5/4/24 6:00,5/4/24 7:00,0
5/4/24 5:00,5/4/24 6:00,0
5/4/24 4:00,5/4/24 5:00,0
5/4/24 3:00,5/4/24 4:00,0
5/4/24 2:00,5/4/24 3:00,0
5/4/24 1:00,5/4/24 2:00,0
5/4/24 0:00,5/4/24 1:00,0
5/3/24 23:00,5/4/24 0:00,0
5/3/24 22:00,5/3/24 23:00,0
5/3/24 21:00,5/3/24 22:00,0
5/3/24 20:00,5/3/24 21:00,0
5/3/24 19:00,5/3/24 20:00,0
5/3/24 18:00,5/3/24 19:00,0
5/3/24 17:00,5/3/24 18:00,0
5/3/24 16:00,5/3/24 17:00,0
5/3/24 15:00,5/3/24 16:00,0.04
5/3/24 14:00,5/3/24 15:00,0.16
5/3/24 13:00,5/3/24 14:00,0.56
5/3/24 12:00,5/3/24 13:00,0
5/3/24 11:00,5/3/24 12:00,0
5/3/24 10:00,5/3/24 11:00,0
5/3/24 9:00,5/3/24 10:00,0.32
5/3/24 8:00,5/3/24 9:00,0.52
5/3/24 7:00,5/3/24 8:00,0.28
5/3/24 6:00,5/3/24 7:00,0.68
5/3/24 5:00,5/3/24 6:00,2.84
5/3/24 4:00,5/3/24 5:00,0.16
5/3/24 3:00,5/3/24 4:00,0
5/3/24 2:00,5/3/24 3:00,0
5/3/24 1:00,5/3/24 2:00,0
5/3/24 0:00,5/3/24 1:00,0
5/2/24 23:00,5/3/24 0:00,0
5/2/24 22:00,5/2/24 23:00,0
5/2/24 21:00,5/2/24 22:00,0
5/2/24 20:00,5/2/24 21:00,0
5/2/24 19:00,5/2/24 20:00,0
5/2/24 18:00,5/2/24 19:00,0
5/2/24 17:00,5/2/24 18:00,0
5/2/24 16:00,5/2/24 17:00,0
5/2/24 15:00,5/2/24 16:00,0
5/2/24 14:00,5/2/24 15:00,0
5/2/24 13:00,5/2/24 14:00,0.04
5/2/24 12:00,5/2/24 13:00,0.04
5/2/24 11:00,5/2/24 12:00,0.2
5/2/24 10:00,5/2/24 11:00,1.2
5/2/24 9:00,5/2/24 10:00,1.28
5/2/24 8:00,5/2/24 9:00,3.48
5/2/24 7:00,5/2/24 8:00,0.76
5/2/24 6:00,5/2/24 7:00,0
5/2/24 5:00,5/2/24 6:00,0
5/2/24 4:00,5/2/24 5:00,0.08
5/2/24 3:00,5/2/24 4:00,0.04
5/2/24 2:00,5/2/24 3:00,0
5/2/24 1:00,5/2/24 2:00,0
5/2/24 0:00,5/2/24 1:00,0
5/1/24 23:00,5/2/24 0:00,0
5/1/24 22:00,5/1/24 23:00,0
5/1/24 21:00,5/1/24 22:00,0
5/1/24 20:00,5/1/24 21:00,0
5/1/24 19:00,5/1/24 20:00,0
5/1/24 18:00,5/1/24 19:00,0
5/1/24 17:00,5/1/24 18:00,0
5/1/24 16:00,5/1/24 17:00,0
5/1/24 15:00,5/1/24 16:00,0
5/1/24 14:00,5/1/24 15:00,0
5/1/24 13:00,5/1/24 14:00,0
5/1/24 12:00,5/1/24 13:00,0
5/1/24 11:00,5/1/24 12:00,0
5/1/24 10:00,5/1/24 11:00,0
5/1/24 9:00,5/1/24 10:00,0
5/1/24 8:00,5/1/24 9:00,0
5/1/24 7:00,5/1/24 8:00,0
5/1/24 6:00,5/1/24 7:00,0
5/1/24 5:00,5/1/24 6:00,0
5/1/24 4:00,5/1/24 5:00,0
5/1/24 3:00,5/1/24 4:00,0
5/1/24 2:00,5/1/24 3:00,0
5/1/24 1:00,5/1/24 2:00,0
5/1/24 0:00,5/1/24 1:00,0
4/30/24 23:00,5/1/24 0:00,0
4/30/24 22:00,4/30/24 23:00,0
4/30/24 21:00,4/30/24 22:00,0
4/30/24 20:00,4/30/24 21:00,0
4/30/24 19:00,4/30/24 20:00,0
4/30/24 18:00,4/30/24 19:00,0
4/30/24 17:00,4/30/24 18:00,0
4/30/24 16:00,4/30/24 17:00,0
4/30/24 15:00,4/30/24 16:00,0
4/30/24 14:00,4/30/24 15:00,0
4/30/24 13:00,4/30/24 14:00,0
4/30/24 12:00,4/30/24 13:00,0
4/30/24 11:00,4/30/24 12:00,0
4/30/24 10:00,4/30/24 11:00,0
4/30/24 9:00,4/30/24 10:00,0
4/30/24 8:00,4/30/24 9:00,0
4/30/24 7:00,4/30/24 8:00,0
4/30/24 6:00,4/30/24 7:00,0
4/30/24 5:00,4/30/24 6:00,0
4/30/24 4:00,4/30/24 5:00,0
4/30/24 3:00,4/30/24 4:00,0
4/30/24 2:00,4/30/24 3:00,0
4/30/24 1:00,4/30/24 2:00,0
4/30/24 0:00,4/30/24 1:00,0
4/29/24 23:00,4/30/24 0:00,0
4/29/24 22:00,4/29/24 23:00,0
4/29/24 21:00,4/29/24 22:00,0
4/29/24 20:00,4/29/24 21:00,0
4/29/24 19:00,4/29/24 20:00,0
4/29/24 18:00,4/29/24 19:00,0
4/29/24 17:00,4/29/24 18:00,0
4/29/24 16:00,4/29/24 17:00,0
4/29/24 15:00,4/29/24 16:00,0
4/29/24 14:00,4/29/24 15:00,0
4/29/24 13:00,4/29/24 14:00,0
4/29/24 12:00,4/29/24 13:00,0
4/29/24 11:00,4/29/24 12:00,0
4/29/24 10:00,4/29/24 11:00,0
4/29/24 9:00,4/29/24 10:00,0
4/29/24 8:00,4/29/24 9:00,0
4/29/24 7:00,4/29/24 8:00,0
4/29/24 6:00,4/29/24 7:00,0
4/29/24 5:00,4/29/24 6:00,0.2
4/29/24 4:00,4/29/24 5:00,1.56
4/29/24 3:00,4/29/24 4:00,1.72
4/29/24 2:00,4/29/24 3:00,0.12
4/29/24 1:00,4/29/24 2:00,0.08
4/29/24 0:00,4/29/24 1:00,0
